htm_link,download_link
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_mt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_mt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_nl.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_nl.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_no.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_no.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_pl.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_pl.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_pt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_pt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_ro.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_ro.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_se.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_se.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_si.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_si.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_sk.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_sk.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_uk.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_uk.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pr_gnb_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pr_gnb_esms.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pr_soiler_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pr_soiler_esms.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_ps_inp_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_ps_inp_esms.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_ap_esms.htm,https://ec.europa.eu/eurostat/estat-navtree-portlet-prod/BulkDownloadListing?downfile=metadata%2Fapri_ap_esms.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esms.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_at.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_at.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_bg.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_bg.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_cz.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_cz.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_dk.htm,http://ec.europa.eu/eurostat/estat-navtree-portlet-prod/BulkDownloadListing?file=metadata/apri_lpr_esmsal_dk.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_ee.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_ee.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_el.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_el.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_es.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_es.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_fi.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_fi.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_fr.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_fr.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_hr.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_hr.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_hu.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_hu.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_ie.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_ie.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_it.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_it.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_lt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_lt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_lu.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_lu.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_lv.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_lv.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_mt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_mt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_nl.htm,http://ec.europa.eu/eurostat/estat-navtree-portlet-prod/BulkDownloadListing?file=metadata/apri_lpr_esmsal_nl.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_no.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_no.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_pl.htm,http://ec.europa.eu/eurostat/estat-navtree-portlet-prod/BulkDownloadListing?file=metadata/apri_lpr_esmsal_pl.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_ro.htm,https://ec.europa.eu/eurostat/estat-navtree-portlet-prod/BulkDownloadListing?downfile=metadata%2Fapri_lpr_esmsal_ro.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_se.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_se.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_lpr_esmsal_si.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_lpr_esmsal_si.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apri_pi_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apri_pi_esms.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apro_anip_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apro_anip_esms.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/apro_cbs_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/apro_cbs_esms.sdmx.zip
